,Post,Preferred_Foot,Player_Count
0,Center Attacking,Left,305
1,Center Attacking,Right,1892
2,Center Back,Left,632
3,Center Back,Right,2409
4,Center Midfielder,Left,622
5,Center Midfielder,Right,2631
6,Left Attacking,Left,138
7,Left Attacking,Right,440
8,Left Back,Left,1211
9,Left Back,Right,170
10,Left Midfielder,Left,464
11,Left Midfielder,Right,882
12,Right Attacking,Left,132
13,Right Attacking,Right,434
14,Right Back,Left,18
15,Right Back,Right,1336
16,Right Midfielder,Left,279
17,Right Midfielder,Right,1099
